ball_1,ball_2,ball_3,ball_4,win_times
10,20,28,30,2
5,15,38,40,2
10,20,29,30,2
12,19,33,38,2
1,7,8,30,2
21,22,28,33,2
10,28,29,42,2
20,25,27,29,2
11,29,31,34,2
5,6,14,33,2
3,15,17,32,2
4,27,30,34,2
4,14,36,20,2
5,6,9,25,2
10,16,35,38,2
11,17,27,32,2
7,13,30,31,2
7,30,35,40,2
7,13,30,42,2
7,13,31,42,2
10,16,17,35,2
30,34,36,37,2
30,34,36,40,2
9,17,35,38,2
7,30,31,42,2
7,21,30,35,2
13,30,31,42,2
20,25,39,42,2
2,6,14,33,2
5,8,28,41,2
10,19,33,41,2
8,11,18,27,2
13,14,18,22,2
15,31,32,40,2
2,6,15,17,2
4,13,27,34,2
12,23,37,41,2
2,6,18,41,2
16,18,33,36,2
15,17,20,34,2
2,10,17,41,2
7,23,37,41,2
14,21,26,27,2
8,10,19,31,2
6,15,17,41,2
2,13,22,36,2
7,12,23,41,2
5,15,18,40,2
22,23,26,30,2
3,11,25,34,2
15,17,28,32,2
7,12,21,23,2
16,25,36,38,2
15,16,39,41,2
4,14,23,35,2
5,8,16,19,2
10,13,21,23,2
4,17,29,33,2
9,28,32,39,2
8,17,23,38,2
13,18,30,38,2
2,6,11,16,2
3,8,32,40,2
6,11,22,33,2
4,18,30,42,2
1,6,14,33,2
6,11,13,33,2
4,6,19,25,2
16,33,38,39,2
15,33,39,41,2
5,7,22,38,2
9,12,20,29,2
9,14,34,38,2
8,18,21,30,2
16,25,36,39,2
4,15,27,31,2
17,21,39,41,2
2,10,28,33,2
1,4,11,18,2
22,27,33,41,2
16,21,26,41,2
14,27,33,41,2
5,22,24,38,2
6,27,33,35,2
7,16,34,42,2
13,16,22,33,2
7,22,33,39,2
3,14,21,26,2
3,14,21,32,2
3,14,26,32,2
3,21,26,32,2
7,9,39,42,2
5,8,29,31,2
14,24,35,39,2
14,21,26,32,2
9,15,29,39,2
2,7,28,39,2
8,11,21,40,2
19,31,33,38,2
2,6,11,33,2
14,15,28,37,2
2,6,27,33,2
7,19,25,33,2
2,6,33,35,2
9,10,14,15,2
31,33,34,38,2
1,2,17,21,2
3,25,37,42,2
9,15,32,39,2
12,20,30,36,2
13,16,32,42,2
5,14,36,39,2
1,28,35,42,2
4,14,22,27,2
4,14,22,23,2
22,31,38,39,2
4,5,22,38,2
3,10,17,42,2
19,30,31,42,2
25,31,33,38,2
1,4,38,42,2
18,34,37,41,2
2,10,17,42,2
25,33,38,39,2
12,13,34,35,2
12,30,40,42,2
28,30,34,35,2
8,12,22,32,2
1,4,28,35,2
7,28,30,35,2
13,16,29,41,2
2,21,30,32,2
11,20,27,28,2
20,24,28,29,2
1,14,35,41,2
4,15,32,39,2
5,14,26,39,2
20,27,30,37,2
3,9,14,18,2
9,12,21,24,2
2,28,31,33,2
9,12,20,27,2
2,28,31,41,2
2,28,33,41,2
18,20,37,38,2
4,9,32,39,2
4,9,15,39,2
6,15,19,39,2
1,8,26,36,2
2,9,26,37,2
7,9,16,22,2
2,11,14,28,2
2,9,14,26,2
3,18,20,38,2
4,10,18,21,2
13,22,32,42,2
9,18,27,29,2
12,13,32,42,2
14,24,33,35,2
7,20,28,35,2
4,16,34,41,2
2,14,15,25,2
3,12,14,16,2
4,12,27,35,2
4,22,33,41,2
2,17,21,41,2
1,3,27,28,2
1,2,28,31,2
13,16,34,41,2
20,25,29,34,2
9,28,29,30,2
2,11,21,22,2
9,13,29,30,2
5,20,29,42,2
4,33,34,36,2
3,7,25,37,2
20,25,29,41,2
3,13,34,41,2
2,11,19,21,2
2,20,37,41,2
4,12,38,42,2
11,26,28,38,2
11,26,28,33,2
4,12,21,42,2
11,19,21,22,2
10,19,31,32,2
7,14,22,23,2
23,32,34,40,2
9,12,28,32,2
4,9,15,35,2
5,10,16,31,2
9,13,32,39,2
1,4,5,36,2
19,33,34,38,2
8,27,29,35,2
7,25,30,32,2
2,14,25,28,2
2,14,15,28,2
5,18,19,40,2
15,20,21,23,2
13,16,37,41,2
15,33,34,41,2
2,9,15,25,2
3,18,34,40,2
16,37,38,39,2
19,21,22,40,2
1,9,35,40,2
9,12,22,33,2
4,14,23,36,2
20,25,34,41,2
13,22,23,35,2
3,9,12,30,2
10,11,19,27,2
2,10,17,32,2
33,34,37,41,2
5,16,19,31,2
22,32,34,37,2
2,8,14,38,2
10,31,38,42,2
3,9,34,41,2
4,12,20,23,2
20,25,32,39,2
13,23,34,37,2
14,21,29,35,2
2,24,29,38,2
2,14,24,36,2
13,22,34,37,2
2,14,22,36,2
14,21,29,33,2
10,14,35,39,2
2,17,26,36,2
4,20,29,36,2
7,19,28,35,2
2,10,22,36,2
1,16,19,31,2
5,22,26,41,2
4,20,32,39,2
10,22,24,36,2
20,29,34,41,2
20,22,30,38,2
1,2,6,18,2
9,12,22,27,2
9,11,16,19,2
2,31,32,41,2
4,2,3,5,2
12,22,27,30,2
25,29,34,41,2
2,21,31,41,2
3,8,15,27,2
6,11,25,36,2
8,29,30,35,2
22,23,26,41,2
1,11,18,29,2
11,12,22,26,2
10,17,21,32,2
15,21,22,27,2
1,5,14,16,2
14,36,37,42,2
2,17,21,32,2
3,8,29,31,2
15,18,21,30,2
19,29,34,37,2
8,10,31,40,2
3,20,28,35,2
4,8,11,25,2
1,25,30,31,2
17,26,27,34,2
3,9,13,35,2
4,22,23,36,2
13,14,26,33,2
1,21,37,42,2
20,23,28,41,2
19,23,31,35,2
1,28,29,31,2
4,17,21,41,2
7,25,27,38,2
1,10,23,37,2
4,29,33,34,2
1,3,29,36,2
15,19,27,34,2
13,23,26,35,2
1,7,23,37,2
1,25,31,35,2
24,26,27,34,2
13,22,30,38,2
4,16,18,37,2
6,16,24,41,2
1,14,21,42,2
10,13,19,32,2
1,17,18,21,2
2,16,36,38,2
5,10,23,33,2
3,13,30,38,2
18,29,31,33,2
4,11,25,32,2
1,7,25,37,2
12,13,18,22,2
16,18,33,38,2
12,13,14,36,2
1,4,22,23,2
16,33,36,38,2
17,37,39,40,2
12,13,14,22,2
5,8,16,42,2
2,11,38,40,2
8,14,21,42,2
1,4,14,42,2
2,38,40,41,2
8,10,13,31,2
13,22,31,41,2
8,14,31,37,2
23,31,3,1,2
6,24,31,34,2
1,9,13,36,2
1,9,19,22,2
20,30,31,35,2
10,30,31,35,2
3,13,22,30,2
10,30,35,36,2
14,15,33,34,2
1,17,21,22,2
11,18,20,39,2
8,10,23,26,2
15,30,34,35,2
6,10,19,38,2
1,5,22,31,2
7,18,28,30,2
1,25,30,37,2
22,25,32,37,2
13,21,22,30,2
5,17,22,31,2
21,25,31,35,2
9,16,31,32,2
21,24,25,35,2
10,38,37,23,2
1,17,25,37,2
18,33,38,41,2
1,3,17,40,2
9,19,32,35,2
10,13,38,23,2
4,7,18,39,2
3,15,27,34,2
9,13,14,33,2
1,17,20,21,2
2,16,21,36,2
14,19,29,33,2
25,30,31,35,2
3,14,33,34,2
14,21,24,25,2
14,16,25,39,2
8,11,19,32,2
8,11,25,32,2
9,16,20,39,2
15,18,20,39,2
5,14,24,30,2
2,15,17,20,2
1,9,18,37,2
15,25,28,40,2
2,7,22,33,2
12,34,35,38,2
5,9,14,33,2
17,19,25,36,2
2,12,19,33,2
3,7,17,29,2
17,24,35,41,2
9,25,39,42,2
1,16,27,38,2
4,10,11,13,2
8,18,19,21,2
8,18,19,38,2
5,14,33,35,2
11,18,27,40,2
7,8,9,33,2
5,14,30,42,2
1,7,16,28,2
10,16,18,39,2
12,18,21,26,2
1,12,14,16,2
4,5,40,41,2
4,8,36,42,2
4,14,36,42,2
11,27,28,30,2
8,13,30,38,2
29,30,36,39,2
11,18,21,26,2
6,26,33,34,2
1,17,26,28,2
1,26,33,34,2
14,33,35,40,2
15,16,18,20,2
6,14,19,41,2
15,16,18,39,2
6,8,23,41,2
15,16,20,39,2
1,21,39,42,2
4,12,36,37,2
42,22,13,25,2
9,31,33,36,2
2,9,15,24,2
5,14,19,33,2
3,34,35,36,2
6,10,19,33,2
11,16,20,31,2
7,30,25,3,2
5,8,19,26,2
6,10,27,33,2
1,17,21,42,2
11,12,18,21,2
5,14,16,25,2
5,14,16,31,2
5,14,16,39,2
1,24,36,42,2
5,14,25,39,2
5,14,31,39,2
9,16,20,36,2
5,16,25,39,2
8,26,33,36,2
11,12,18,26,2
7,19,22,33,2
14,15,36,37,2
4,14,36,37,2
8,13,27,40,2
12,19,22,33,2
29,33,36,39,2
12,14,15,37,2
1,8,21,42,2
7,20,29,35,2
10,17,33,42,2
11,12,21,26,2
2,26,36,39,2
1,25,31,37,2
1,9,27,28,2
13,18,22,36,2
16,18,31,36,2
8,20,22,38,2
6,11,13,38,2
3,7,28,35,2
9,16,39,42,2
2,7,18,20,2
2,9,17,28,2
11,20,28,38,2
12,16,31,40,2
6,14,15,37,2
4,8,15,42,2
16,22,26,35,2
3,6,11,16,2
4,15,16,42,2
6,7,18,34,2
1,9,28,40,2
7,8,15,42,2
11,13,36,42,2
10,22,29,32,2
5,18,33,37,2
28,29,37,38,2
13,21,22,42,2
6,21,26,35,2
7,12,24,39,2
2,17,28,29,2
4,9,31,39,2
16,19,29,34,2
3,16,28,7,2
2,12,32,36,2
28,30,36,38,2
11,13,18,24,2
16,34,37,42,2
3,6,15,16,2
22,24,26,27,2
21,28,36,38,2
4,8,26,36,2
11,13,15,31,2
8,19,28,34,2
8,15,27,34,2
27,29,30,39,2
11,14,15,16,2
11,25,33,36,2
6,11,13,19,2
8,23,26,27,2
4,32,34,40,2
13,17,29,32,2
6,15,16,27,2
5,6,25,34,2
5,16,30,31,2
16,22,24,27,2
10,18,20,39,2
9,15,25,28,2
16,23,24,31,2
3,8,18,27,2
19,21,26,32,2
15,21,26,32,2
15,19,26,32,2
15,19,21,32,2
15,19,21,26,2
1,15,21,26,2
1,15,21,32,2
1,15,26,32,2
1,21,26,32,2
18,20,32,39,2
13,21,24,29,2
1,19,26,32,2
1,19,21,26,2
10,13,17,32,2
1,10,16,37,2
16,23,24,30,2
33,34,38,40,2
2,17,21,24,2
1,15,19,21,2
1,15,19,26,2
7,21,22,42,2
8,31,38,40,2
4,9,31,38,2
5,8,9,41,2
3,4,16,17,2
5,23,29,36,2
5,13,29,31,2
5,8,16,36,2
10,14,18,20,2
6,7,20,26,2
1,15,19,32,2
8,29,30,39,2
10,14,20,32,2
4,9,32,34,2
3,23,36,42,2
3,6,16,17,2
10,12,29,30,2
2,21,24,32,2
12,22,26,33,2
7,13,20,24,2
1,20,21,36,2
14,16,18,37,2
10,13,18,28,2
6,10,14,17,2
10,18,23,33,2
4,32,38,42,2
6,11,33,36,2
27,33,34,41,2
21,22,29,33,2
6,10,17,18,2
10,26,29,40,2
4,17,31,38,2
8,13,22,38,2
6,14,17,18,2
12,27,29,33,2
9,13,34,35,2
6,10,26,35,2
12,27,33,41,2
20,27,28,37,2
5,12,19,27,2
16,18,29,32,2
9,17,28,30,2
6,8,10,18,2
8,27,29,39,2
7,19,23,39,2
3,5,11,35,2
13,22,33,42,2
7,25,30,37,2
27,29,33,41,2
10,27,33,35,2
6,10,16,32,2
16,22,23,36,2
18,20,25,32,2
1,4,14,36,2
11,26,28,37,2
3,9,24,42,2
2,6,16,24,2
1,3,9,30,2
4,8,9,34,2
6,25,30,39,2
15,20,21,29,2
10,35,38,42,2
6,15,16,41,2
7,23,31,42,2
1,5,36,41,2
4,22,36,37,2
3,11,19,34,2
14,22,27,33,2
8,27,30,39,2
1,12,13,36,2
6,10,35,38,2
5,7,11,27,2
1,12,34,36,2
10,23,29,37,2
5,17,22,38,2
1,19,21,32,2
3,8,22,27,2
3,8,13,34,2
1,4,23,35,2
10,14,17,18,2
9,16,37,38,2
4,6,10,11,2
3,4,28,42,2
1,16,26,42,2
2,11,25,28,2
3,14,26,42,2
10,17,35,37,2
7,14,21,42,2
3,13,28,34,2
1,10,11,42,2
3,9,13,34,2
6,9,25,39,2
8,14,15,21,2
9,20,29,36,1
22,29,33,38,1
12,16,20,36,1
12,16,20,29,1
2,10,34,39,1
14,18,20,36,1
11,14,26,37,1
21,29,33,38,1
9,12,16,29,1
9,12,16,20,1
2,10,24,39,1
2,23,24,34,1
14,26,28,37,1
2,23,24,39,1
2,23,34,39,1
2,10,24,34,1
2,10,23,39,1
11,14,28,37,1
2,24,34,39,1
10,23,24,39,1
9,12,16,36,1
2,10,23,34,1
10,23,34,39,1
10,24,34,39,1
23,24,34,39,1
9,12,20,36,1
2,10,23,24,1
9,12,29,36,1
9,16,20,29,1
14,18,20,27,1
14,18,20,30,1
9,16,29,36,1
12,16,29,36,1
2,21,26,35,1
12,20,29,36,1
12,15,40,42,1
12,15,34,40,1
12,15,30,42,1
9,14,16,37,1
9,14,16,42,1
9,14,18,37,1
9,14,18,42,1
9,14,37,42,1
9,16,18,37,1
9,16,18,42,1
12,15,30,40,1
9,16,37,42,1
12,15,30,34,1
9,18,37,42,1
15,20,22,29,1
4,20,22,29,1
4,15,22,29,1
4,15,20,29,1
4,15,20,22,1
14,16,18,42,1
14,16,37,42,1
14,18,37,42,1
12,15,34,42,1
12,30,34,40,1
21,22,33,38,1
9,14,16,18,1
6,13,21,26,1
6,13,21,35,1
2,13,26,35,1
6,13,26,35,1
2,13,21,35,1
11,14,26,28,1
2,13,21,26,1
2,6,26,35,1
2,6,21,35,1
2,6,21,26,1
2,6,13,35,1
2,6,13,26,1
2,6,13,21,1
30,34,40,42,1
15,34,40,42,1
15,30,40,42,1
13,21,26,35,1
15,30,34,42,1
15,30,34,40,1
12,34,40,42,1
12,30,34,42,1
16,18,37,42,1
4,6,7,18,1
4,6,7,34,1
4,6,7,39,1
6,29,33,37,1
6,10,33,37,1
6,10,29,37,1
6,10,29,33,1
8,21,22,29,1
8,21,22,33,1
6,8,33,37,1
6,8,29,37,1
6,8,29,33,1
6,8,10,37,1
8,21,22,38,1
6,8,10,33,1
8,21,29,33,1
8,21,29,38,1
6,8,10,29,1
8,21,33,38,1
16,20,29,36,1
8,22,29,33,1
8,22,29,38,1
8,22,33,38,1
8,29,33,38,1
8,10,29,33,1
7,18,34,39,1
6,18,34,39,1
2,4,20,29,1
2,20,22,29,1
4,6,18,34,1
2,15,22,29,1
4,6,18,39,1
4,6,34,39,1
2,15,20,29,1
2,15,20,22,1
4,7,18,34,1
4,7,34,39,1
4,18,34,39,1
6,7,34,39,1
6,7,18,39,1
2,4,20,22,1
2,4,15,29,1
2,4,15,22,1
2,4,15,20,1
10,29,33,37,1
8,29,33,37,1
8,10,33,37,1
8,10,29,37,1
5,6,14,15,1
13,20,24,37,1
2,26,28,37,1
4,9,23,40,1
4,16,23,26,1
4,16,23,40,1
4,16,26,40,1
4,23,26,40,1
9,16,23,26,1
9,16,23,40,1
9,16,26,40,1
9,23,26,40,1
16,23,26,40,1
11,13,18,20,1
11,13,18,23,1
11,13,20,23,1
11,13,23,24,1
11,18,20,23,1
11,18,20,24,1
11,18,23,24,1
11,20,23,24,1
4,9,26,40,1
4,9,23,26,1
13,18,23,24,1
4,9,16,40,1
13,24,30,38,1
22,24,30,38,1
1,6,14,19,1
1,6,14,29,1
1,6,19,29,1
1,6,19,33,1
1,6,29,33,1
1,14,19,29,1
1,14,19,33,1
1,14,29,33,1
1,19,29,33,1
6,14,19,29,1
6,14,19,33,1
6,14,29,33,1
6,19,29,33,1
4,9,16,23,1
4,9,16,26,1
13,18,20,23,1
13,20,23,24,1
13,22,24,30,1
15,29,36,37,1
20,21,29,37,1
20,21,36,37,1
20,29,36,37,1
21,29,36,37,1
1,6,10,16,1
1,6,10,32,1
1,6,10,37,1
1,6,16,32,1
1,6,16,37,1
1,6,32,37,1
1,10,16,32,1
1,10,32,37,1
1,16,32,37,1
6,10,16,37,1
6,10,32,37,1
6,16,32,37,1
10,16,32,37,1
20,21,29,36,1
15,21,36,37,1
18,20,23,24,1
15,21,29,37,1
7,8,14,15,1
7,8,14,21,1
7,8,14,42,1
7,8,15,21,1
7,8,21,42,1
7,14,15,21,1
7,14,15,42,1
7,15,21,42,1
8,14,15,42,1
8,15,21,42,1
14,15,21,42,1
15,20,21,36,1
15,20,21,37,1
15,20,29,36,1
15,20,29,37,1
15,20,36,37,1
15,21,29,36,1
13,22,24,38,1
3,24,30,38,1
2,14,28,37,1
7,19,20,36,1
7,19,32,36,1
7,19,33,36,1
7,20,32,33,1
7,20,32,36,1
7,20,33,36,1
7,32,33,36,1
19,20,32,33,1
19,20,32,36,1
19,20,33,36,1
19,32,33,36,1
20,32,33,36,1
1,3,17,25,1
1,3,17,29,1
1,3,25,29,1
1,3,25,40,1
1,3,29,40,1
1,17,25,29,1
7,19,32,33,1
7,19,20,33,1
1,17,29,40,1
7,19,20,32,1
22,23,31,42,1
22,25,31,42,1
23,25,31,42,1
8,9,11,16,1
8,9,11,37,1
8,9,11,38,1
8,9,16,37,1
8,9,16,38,1
8,9,37,38,1
8,11,16,37,1
8,11,16,38,1
8,11,37,38,1
8,16,37,38,1
9,11,16,37,1
9,11,16,38,1
9,11,37,38,1
11,16,37,38,1
1,17,25,40,1
1,25,29,40,1
3,22,30,38,1
4,10,11,22,1
4,10,13,22,1
4,10,14,22,1
4,11,13,14,1
4,11,13,22,1
4,11,14,22,1
4,13,14,22,1
10,11,13,14,1
10,11,13,22,1
10,11,14,22,1
10,13,14,22,1
11,13,14,22,1
3,13,22,24,1
3,13,22,38,1
3,13,24,30,1
3,13,24,38,1
3,22,24,30,1
3,22,24,38,1
4,10,13,14,1
4,10,11,14,1
3,17,25,29,1
19,20,31,38,1
3,17,25,40,1
3,17,29,40,1
3,25,29,40,1
17,25,29,40,1
1,16,19,20,1
1,16,19,38,1
1,16,20,31,1
1,16,20,38,1
1,16,31,38,1
1,19,20,31,1
1,19,20,38,1
1,19,31,38,1
1,20,31,38,1
16,19,20,31,1
16,19,20,38,1
16,19,31,38,1
16,20,31,38,1
9,20,27,34,1
9,20,27,35,1
9,20,27,36,1
30,33,37,39,1
7,22,27,34,1
7,22,27,37,1
7,22,32,34,1
7,22,32,37,1
7,22,34,37,1
7,27,32,34,1
7,27,32,37,1
7,27,34,37,1
7,32,34,37,1
22,27,32,34,1
22,27,32,37,1
22,27,34,37,1
27,32,34,37,1
4,18,20,29,1
4,18,20,36,1
4,18,20,38,1
4,18,29,36,1
7,22,27,32,1
26,33,37,39,1
4,18,36,38,1
26,30,37,39,1
10,13,31,39,1
10,13,31,40,1
10,13,39,40,1
10,31,39,40,1
13,31,39,40,1
4,26,30,33,1
4,26,30,37,1
4,26,30,39,1
4,26,33,37,1
4,26,33,39,1
4,26,37,39,1
4,30,33,37,1
4,30,33,39,1
4,30,37,39,1
4,33,37,39,1
26,30,33,37,1
26,30,33,39,1
4,18,29,38,1
4,20,29,38,1
9,20,34,35,1
9,10,22,40,1
9,10,37,40,1
9,10,39,40,1
9,22,37,39,1
9,22,37,40,1
9,22,39,40,1
9,37,39,40,1
10,22,37,39,1
10,22,37,40,1
10,22,39,40,1
10,37,39,40,1
22,37,39,40,1
2,11,14,26,1
2,11,14,37,1
2,11,26,28,1
2,11,26,37,1
2,11,28,37,1
2,14,26,28,1
9,10,37,39,1
9,10,22,39,1
4,20,36,38,1
9,10,22,37,1
4,29,36,38,1
18,20,29,36,1
18,20,29,38,1
18,20,36,38,1
18,29,36,38,1
20,29,36,38,1
1,2,17,39,1
1,2,17,41,1
1,2,21,39,1
1,2,21,41,1
1,2,39,41,1
1,17,21,41,1
1,17,39,41,1
1,21,39,41,1
2,17,21,39,1
2,17,39,41,1
2,21,39,41,1
8,31,39,40,1
8,13,39,40,1
8,13,31,40,1
15,23,40,42,1
19,23,26,40,1
19,23,26,42,1
19,23,40,42,1
19,26,40,42,1
23,26,40,42,1
6,17,18,23,1
6,17,18,27,1
6,17,18,40,1
6,17,23,27,1
6,17,23,40,1
6,17,27,40,1
6,18,23,27,1
6,18,23,40,1
6,18,27,40,1
6,23,27,40,1
17,18,23,27,1
17,18,23,40,1
15,26,40,42,1
15,23,26,42,1
8,13,31,39,1
15,23,26,40,1
9,20,34,36,1
9,20,35,36,1
9,27,34,35,1
9,27,34,36,1
9,27,35,36,1
9,34,35,36,1
20,27,34,35,1
20,27,34,36,1
20,27,35,36,1
20,34,35,36,1
27,34,35,36,1
15,19,23,26,1
15,19,23,40,1
15,19,23,42,1
15,19,26,40,1
15,19,26,42,1
15,19,40,42,1
17,18,27,40,1
17,23,27,40,1
18,23,27,40,1
17,26,27,29,1
9,14,19,22,1
9,14,22,33,1
14,19,22,33,1
13,18,20,40,1
13,18,24,37,1
13,18,24,40,1
13,18,37,40,1
13,20,24,40,1
13,20,37,40,1
13,24,37,40,1
18,20,24,37,1
18,20,37,40,1
18,24,37,40,1
20,24,37,40,1
8,10,13,39,1
8,10,31,39,1
8,10,39,40,1
5,19,22,33,1
5,14,19,22,1
5,9,22,33,1
17,29,34,36,1
17,26,27,36,1
17,26,29,34,1
17,26,29,36,1
17,26,34,36,1
17,27,29,34,1
17,27,29,36,1
17,27,34,36,1
26,27,29,34,1
5,9,19,33,1
26,27,29,36,1
26,27,34,36,1
26,29,34,36,1
27,29,34,36,1
5,9,14,19,1
5,9,14,22,1
5,9,19,22,1
14,18,27,30,1
1,3,5,26,1
14,18,27,36,1
4,5,10,41,1
1,4,5,10,1
1,4,5,41,1
1,4,10,36,1
1,4,10,41,1
1,4,36,41,1
1,5,10,36,1
1,5,10,41,1
1,10,36,41,1
4,5,10,36,1
4,5,36,41,1
10,18,33,35,1
4,10,36,41,1
5,10,36,41,1
10,16,18,19,1
10,16,18,28,1
10,16,19,28,1
10,16,19,39,1
10,16,28,39,1
10,18,19,28,1
10,18,19,39,1
18,27,33,35,1
10,18,27,35,1
4,23,26,30,1
14,27,37,40,1
8,14,27,37,1
8,14,31,40,1
8,14,37,40,1
8,27,31,37,1
8,27,31,40,1
8,27,37,40,1
8,31,37,40,1
14,27,31,37,1
14,27,31,40,1
14,31,37,40,1
10,18,27,33,1
27,31,37,40,1
6,10,18,27,1
6,10,18,33,1
6,10,18,35,1
6,10,27,35,1
6,10,33,35,1
6,18,27,33,1
6,18,27,35,1
6,18,33,35,1
10,18,28,39,1
10,19,28,39,1
16,18,19,28,1
4,13,19,23,1
3,26,36,39,1
13,25,26,36,1
13,25,26,39,1
13,25,36,39,1
13,26,36,39,1
25,26,36,39,1
4,13,14,19,1
4,13,14,23,1
4,13,14,35,1
4,13,19,35,1
16,18,19,39,1
4,13,23,35,1
4,14,19,23,1
4,14,19,35,1
4,19,23,35,1
13,14,19,23,1
13,14,19,35,1
13,14,23,35,1
14,19,23,35,1
10,16,22,23,1
3,25,36,39,1
3,25,26,39,1
3,25,26,36,1
3,13,36,39,1
16,18,28,39,1
16,19,28,39,1
18,19,28,39,1
6,14,15,36,1
6,14,28,36,1
6,14,28,37,1
6,14,36,37,1
6,15,28,36,1
6,15,28,37,1
6,15,36,37,1
6,28,36,37,1
14,15,28,36,1
14,28,36,37,1
15,28,36,37,1
3,13,25,26,1
3,13,25,36,1
3,13,25,39,1
3,13,26,36,1
3,13,26,39,1
8,14,27,31,1
27,30,31,42,1
22,30,31,42,1
6,11,20,40,1
9,32,35,39,1
15,32,35,39,1
6,10,11,20,1
6,10,11,21,1
6,10,11,40,1
6,10,20,21,1
6,10,20,40,1
6,10,21,40,1
6,11,20,21,1
6,20,21,40,1
14,18,31,37,1
10,11,20,21,1
10,11,20,40,1
10,11,21,40,1
11,20,21,40,1
14,16,18,31,1
14,16,18,36,1
14,16,31,36,1
14,16,31,37,1
14,16,36,37,1
9,15,35,39,1
9,15,32,35,1
4,32,35,39,1
4,15,35,39,1
18,22,23,30,1
18,23,26,30,1
1,3,11,15,1
1,3,11,35,1
1,3,12,15,1
1,3,12,35,1
1,3,15,35,1
1,11,12,15,1
1,11,12,35,1
1,11,15,35,1
1,12,15,35,1
3,11,12,15,1
3,11,12,35,1
3,11,15,35,1
3,12,15,35,1
11,12,15,35,1
4,9,32,35,1
4,9,35,39,1
4,15,32,35,1
14,18,31,36,1
14,18,36,37,1
22,27,31,42,1
19,22,27,30,1
3,12,31,40,1
3,14,16,31,1
3,14,16,40,1
3,14,31,40,1
3,16,31,40,1
12,14,16,31,1
12,14,16,40,1
12,14,31,40,1
14,16,31,40,1
19,22,27,31,1
14,31,36,37,1
19,22,27,42,1
19,22,30,31,1
19,22,30,42,1
19,22,31,42,1
19,27,30,31,1
19,27,30,42,1
19,27,31,42,1
22,27,30,31,1
22,27,30,42,1
3,12,16,40,1
3,12,16,31,1
3,12,14,40,1
3,12,14,31,1
16,18,31,37,1
16,18,36,37,1
16,31,36,37,1
